SD_SYMBOL_ID,SD_SYMBOL,SD_TRADE_DATE,SD_OPEN,SD_CLOSE,SD_HIGH,SD_LOW,SD_ADJ_CLOSE,SD_TXN_VOLUME
229,APOLLOHOSP,2024-01-09,5702.20,5797.65,5849.00,5674.70,5792.42,329437
230,APOLLOHOSP,2024-01-10,5800.00,5800.90,5819.30,5721.30,5795.67,239740
231,APOLLOHOSP,2024-01-11,5804.00,5869.90,5892.00,5802.25,5864.61,213210
232,APOLLOHOSP,2024-01-12,5870.00,5795.70,5922.00,5742.85,5790.48,250919
233,APOLLOHOSP,2024-01-15,5835.00,5896.40,5924.15,5804.00,5891.09,375458
234,APOLLOHOSP,2024-01-16,5882.00,5904.55,5967.45,5829.00,5899.23,347797
235,APOLLOHOSP,2024-01-17,5872.85,5925.90,5980.35,5831.25,5920.56,378205
236,APOLLOHOSP,2024-01-18,5959.00,5990.85,6028.95,5838.00,5985.45,591170
237,APOLLOHOSP,2024-01-19,5987.00,6094.65,6120.00,5951.00,6089.16,326813
238,APOLLOHOSP,2024-01-23,6428.00,6153.75,6428.70,6133.65,6148.20,982889
239,APOLLOHOSP,2024-01-24,6153.55,6213.35,6230.00,6083.35,6207.75,435151
240,APOLLOHOSP,2024-01-25,6210.05,6168.85,6238.20,6119.10,6163.29,337391
241,APOLLOHOSP,2024-01-29,6199.05,6329.75,6349.00,6177.80,6324.04,554591
242,APOLLOHOSP,2024-01-30,6331.00,6309.80,6387.85,6283.80,6304.11,304312
243,APOLLOHOSP,2024-01-31,6280.00,6352.95,6371.65,6255.55,6347.22,499281
244,APOLLOHOSP,2024-02-01,6289.65,6287.95,6377.00,6267.80,6282.28,255111
245,APOLLOHOSP,2024-02-02,6320.00,6320.55,6359.05,6291.30,6314.85,239428
246,APOLLOHOSP,2024-02-05,6320.55,6234.50,6346.60,6209.20,6228.88,147909
247,APOLLOHOSP,2024-02-06,6259.95,6197.30,6297.90,6155.05,6191.71,326654
248,APOLLOHOSP,2024-02-07,6237.75,6177.95,6248.85,6155.00,6172.38,323738
249,APOLLOHOSP,2024-02-08,6201.50,6231.00,6363.20,6150.00,6225.38,794455
250,APOLLOHOSP,2024-02-09,6269.40,6437.35,6473.95,6213.60,6431.55,933104
251,APOLLOHOSP,2024-02-12,6464.90,6614.45,6677.80,6375.00,6608.49,709946
252,APOLLOHOSP,2024-02-13,6614.45,6718.90,6740.00,6598.25,6712.84,521773
253,APOLLOHOSP,2024-02-14,6718.80,6754.10,6775.00,6700.00,6748.01,452781
254,APOLLOHOSP,2024-02-15,6750.00,6627.60,6764.40,6585.60,6621.63,446114
255,APOLLOHOSP,2024-02-16,6631.05,6600.55,6660.45,6525.10,6594.60,391508
256,APOLLOHOSP,2024-02-19,6620.00,6657.15,6675.95,6511.05,6651.15,334607
257,APOLLOHOSP,2024-02-20,6667.50,6759.45,6785.00,6637.85,6759.45,559251
258,APOLLOHOSP,2024-02-21,6784.95,6760.15,6821.95,6717.30,6760.15,537325
259,APOLLOHOSP,2024-02-22,6765.00,6769.20,6874.45,6690.05,6769.20,564432
260,APOLLOHOSP,2024-02-23,6779.00,6774.05,6786.80,6723.10,6774.05,352524
261,APOLLOHOSP,2024-02-26,6769.95,6584.00,6791.75,6570.90,6584.00,453443
262,APOLLOHOSP,2024-02-27,6588.00,6620.60,6668.45,6570.00,6620.60,313760
